dataset,nodenum,edgenum,avgdeg,maxdeg,degeneracy,ddVertex num,nbh edgenum,nbh avgdeg,cc,nbh newsize
as-skitter,1696415,11095298,12,35455,111,2,4544,80,1,111
cit-Patents,3774768,16518947,8,793,64,5,1352,42,1,64
com-amazon,334863,925872,4,549,6,77,15,4,1,0
com-dblp,317080,1049866,6,343,113,1,6328,112,1,113
com-orkut,3072441,117185083,76,33313,253,27,8720,68,1,253
com-youtube,1134890,2987624,4,28754,51,30,597,22,1,51
email-euall,265214,364481,2,7636,37,37,388,20,1,37
live-journal,4847571,42851237,16,20333,372,2,68776,368,1,97
road-ca,1965206,2766607,2,12,3,597,3,2,1,3
twitter,41652230,1202513046,56,2997487,2488,1,2794991,2246,1,2488
web-google,875713,4322051,8,6332,44,3,945,42,1,0
wiki-Talk,2394385,4659565,2,100029,131,24,4350,66,1,131
wiki-vote,7115,100762,28,1065,53,19,783,28,1,53
